sample-id	participant	timepoint	run_accession	r1_exists	r2_exists	r1_size_bytes	r2_size_bytes	r1_gzip_valid	r2_gzip_valid	pair_valid
R001_before	R001	before	SRR2658150	True	True	3676016	4444407	True	True	True
R001_7d	R001	7d	SRR2658076	True	True	3605636	4667015	True	True	True
R001_14d	R001	14d	SRR2658043	True	True	4273813	5363491	True	True	True
R001_30d	R001	30d	SRR2658050	True	True	3989427	5296506	True	True	True
R002_before	R002	before	SRR2657970	True	True	3229669	4046750	True	True	True
R002_7d	R002	7d	SRR2658175	True	True	4826189	5920505	True	True	True
R002_14d	R002	14d	SRR2658158	True	True	4667574	5752500	True	True	True
R002_30d	R002	30d	SRR2658166	True	True	4624161	5955092	True	True	True
R003_before	R003	before	SRR2657972	True	True	4080041	5122196	True	True	True
R003_7d	R003	7d	SRR2657974	True	True	4590471	5631492	True	True	True
R003_14d	R003	14d	SRR2657973	True	True	3654477	4650664	True	True	True
R003_30d	R003	30d	SRR2657971	True	True	3733502	4799730	True	True	True
R004_before	R004	before	SRR2657979	True	True	3427364	4551474	True	True	True
R004_7d	R004	7d	SRR2657978	True	True	4578292	5904849	True	True	True
R004_14d	R004	14d	SRR2657975	True	True	4795499	6126148	True	True	True
R004_30d	R004	30d	SRR2657977	True	True	5352566	7024578	True	True	True
R005_before	R005	before	SRR2657983	True	True	4187910	5367570	True	True	True
R005_7d	R005	7d	SRR2657982	True	True	5186695	6878316	True	True	True
R005_14d	R005	14d	SRR2657980	True	True	5524040	7204420	True	True	True
R005_30d	R005	30d	SRR2657981	True	True	4837599	5915886	True	True	True
R006_before	R006	before	SRR2657988	True	True	4100867	4728488	True	True	True
R006_7d	R006	7d	SRR2657986	True	True	4653040	5451741	True	True	True
R006_14d	R006	14d	SRR2657984	True	True	4710742	5807955	True	True	True
R006_30d	R006	30d	SRR2657985	True	True	5834431	7283667	True	True	True
R008_before	R008	before	SRR2657992	True	True	2273818	3083528	True	True	True
R008_7d	R008	7d	SRR2657991	True	True	2609338	3371474	True	True	True
R008_14d	R008	14d	SRR2657989	True	True	3462678	4291941	True	True	True
R008_30d	R008	30d	SRR2657990	True	True	3136068	4134171	True	True	True
R009_before	R009	before	SRR2657996	True	True	3315038	4114440	True	True	True
R009_7d	R009	7d	SRR2657995	True	True	5157272	6695123	True	True	True
R009_14d	R009	14d	SRR2657993	True	True	3733101	4730968	True	True	True
R009_30d	R009	30d	SRR2657994	True	True	5442206	7090391	True	True	True
R010_before	R010	before	SRR2658038	True	True	3328501	4274512	True	True	True
R010_7d	R010	7d	SRR2658037	True	True	4369677	5754261	True	True	True
R010_14d	R010	14d	SRR2658035	True	True	4792808	6223734	True	True	True
R010_30d	R010	30d	SRR2658036	True	True	4111861	4985457	True	True	True
R011_before	R011	before	SRR2658045	True	True	3672935	4970009	True	True	True
R011_7d	R011	7d	SRR2658044	True	True	3899438	5239988	True	True	True
R011_14d	R011	14d	SRR2658039	True	True	4231568	5371356	True	True	True
R011_30d	R011	30d	SRR2658042	True	True	5137653	6229878	True	True	True
R012_before	R012	before	SRR2658049	True	True	5033388	6398923	True	True	True
R012_7d	R012	7d	SRR2658048	True	True	5354234	6937211	True	True	True
R012_14d	R012	14d	SRR2658046	True	True	4923841	6078769	True	True	True
R012_30d	R012	30d	SRR2658047	True	True	4382449	5528709	True	True	True
R013_before	R013	before	SRR2658247	True	True	3504175	4760026	True	True	True
R013_7d	R013	7d	SRR2658246	True	True	3571361	4766363	True	True	True
R013_14d	R013	14d	SRR2658244	True	True	3199103	4342926	True	True	True
R013_30d	R013	30d	SRR2658245	True	True	4217225	5736884	True	True	True
R014_before	R014	before	SRR2658252	True	True	4020458	5358488	True	True	True
R014_7d	R014	7d	SRR2658250	True	True	3585092	4643487	True	True	True
R014_14d	R014	14d	SRR2658248	True	True	4997465	6418221	True	True	True
R014_30d	R014	30d	SRR2658249	True	True	4096173	5401222	True	True	True
R015_before	R015	before	SRR2658071	True	True	2717144	3275210	True	True	True
R015_7d	R015	7d	SRR2658070	True	True	3719035	4553871	True	True	True
R015_14d	R015	14d	SRR2658051	True	True	3657168	4426298	True	True	True
R015_30d	R015	30d	SRR2658069	True	True	4576528	6171780	True	True	True
R016_before	R016	before	SRR2658075	True	True	4887912	6642935	True	True	True
R016_7d	R016	7d	SRR2658074	True	True	4028690	4959359	True	True	True
R016_14d	R016	14d	SRR2658072	True	True	2909430	3840430	True	True	True
R016_30d	R016	30d	SRR2658073	True	True	4109843	5223055	True	True	True
R017_before	R017	before	SRR2658256	True	True	4030411	5491158	True	True	True
R017_7d	R017	7d	SRR2658255	True	True	5684348	7630060	True	True	True
R017_14d	R017	14d	SRR2658253	True	True	3072266	4155298	True	True	True
R017_30d	R017	30d	SRR2658254	True	True	3524566	4774827	True	True	True
R018_before	R018	before	SRR2658145	True	True	2902996	3776926	True	True	True
R018_7d	R018	7d	SRR2658144	True	True	3110362	3899876	True	True	True
R018_14d	R018	14d	SRR2658077	True	True	3497808	4700173	True	True	True
R018_30d	R018	30d	SRR2658142	True	True	4569848	6072449	True	True	True
R019_before	R019	before	SRR2658149	True	True	3872040	4964764	True	True	True
R019_7d	R019	7d	SRR2658148	True	True	4105750	5193688	True	True	True
R019_14d	R019	14d	SRR2658146	True	True	3242514	4254597	True	True	True
R019_30d	R019	30d	SRR2658147	True	True	4846095	6073671	True	True	True
R020_before	R020	before	SRR2658155	True	True	4595189	5736987	True	True	True
R020_7d	R020	7d	SRR2658153	True	True	4923970	6263466	True	True	True
R020_14d	R020	14d	SRR2658151	True	True	5422163	6679692	True	True	True
R020_30d	R020	30d	SRR2658152	True	True	3427417	4477602	True	True	True
R021_before	R021	before	SRR2658160	True	True	2885434	3557628	True	True	True
R021_7d	R021	7d	SRR2658159	True	True	2645583	3443522	True	True	True
R021_14d	R021	14d	SRR2658156	True	True	3286779	4614921	True	True	True
R021_30d	R021	30d	SRR2658157	True	True	3735869	4893141	True	True	True
R022_before	R022	before	SRR2658164	True	True	3162723	3979062	True	True	True
R022_7d	R022	7d	SRR2658163	True	True	4016374	4929615	True	True	True
R022_14d	R022	14d	SRR2658161	True	True	4241031	5460648	True	True	True
R022_30d	R022	30d	SRR2658162	True	True	3833625	5320029	True	True	True
R023_before	R023	before	SRR2658170	True	True	1850790	2515681	True	True	True
R023_7d	R023	7d	SRR2658169	True	True	3806822	5064064	True	True	True
R023_14d	R023	14d	SRR2658167	True	True	3357653	4301684	True	True	True
R023_30d	R023	30d	SRR2658168	True	True	3369290	4233680	True	True	True
R024_before	R024	before	SRR2658174	True	True	4491459	5609173	True	True	True
R024_7d	R024	7d	SRR2658173	True	True	3965809	5113751	True	True	True
R024_14d	R024	14d	SRR2658171	True	True	4168417	5283915	True	True	True
R024_30d	R024	30d	SRR2658172	True	True	3627856	4612659	True	True	True
R025_before	R025	before	SRR2658267	True	True	4256622	5854546	True	True	True
R025_7d	R025	7d	SRR2658266	True	True	4691839	6411934	True	True	True
R025_14d	R025	14d	SRR2658259	True	True	4902816	6743725	True	True	True
R025_30d	R025	30d	SRR2658265	True	True	4538793	6156105	True	True	True
R026_before	R026	before	SRR2658273	True	True	4567542	6519627	True	True	True
R026_7d	R026	7d	SRR2658272	True	True	5333407	7319865	True	True	True
R026_14d	R026	14d	SRR2658268	True	True	5290041	7233450	True	True	True
R026_30d	R026	30d	SRR2658271	True	True	5654180	7791150	True	True	True
R027_before	R027	before	SRR2658277	True	True	3043458	4188736	True	True	True
R027_7d	R027	7d	SRR2658276	True	True	4630323	6233652	True	True	True
R027_14d	R027	14d	SRR2658274	True	True	4228428	5720572	True	True	True
R027_30d	R027	30d	SRR2658275	True	True	4266149	5827484	True	True	True
R028_before	R028	before	SRR2658282	True	True	2251972	3112635	True	True	True
R028_7d	R028	7d	SRR2658280	True	True	4076184	5412484	True	True	True
R028_14d	R028	14d	SRR2658278	True	True	4594053	6025044	True	True	True
R028_30d	R028	30d	SRR2658279	True	True	4604399	6188159	True	True	True
R030_before	R030	before	SRR2658290	True	True	3829085	5230511	True	True	True
R030_7d	R030	7d	SRR2658289	True	True	4518576	6024289	True	True	True
R030_14d	R030	14d	SRR2658287	True	True	5863604	7723117	True	True	True
R030_30d	R030	30d	SRR2658288	True	True	5351368	7230932	True	True	True
R032_before	R032	before	SRR2658295	True	True	3422667	4649458	True	True	True
R032_7d	R032	7d	SRR2658294	True	True	6161524	8212423	True	True	True
R032_14d	R032	14d	SRR2658291	True	True	5671381	7604359	True	True	True
R032_30d	R032	30d	SRR2658293	True	True	3989291	5386506	True	True	True
R033_before	R033	before	SRR2658299	True	True	3576005	4725068	True	True	True
R033_7d	R033	7d	SRR2658298	True	True	4621619	6218429	True	True	True
R033_14d	R033	14d	SRR2658296	True	True	4174255	5579862	True	True	True
R033_30d	R033	30d	SRR2658297	True	True	4797135	6459586	True	True	True
R034_before	R034	before	SRR2658304	True	True	4557506	6194870	True	True	True
R034_7d	R034	7d	SRR2658302	True	True	4654668	6515212	True	True	True
R034_14d	R034	14d	SRR2658300	True	True	3800914	5211408	True	True	True
R034_30d	R034	30d	SRR2658301	True	True	4833540	6583804	True	True	True
R035_before	R035	before	SRR2658308	True	True	4088111	5570812	True	True	True
R035_7d	R035	7d	SRR2658307	True	True	4666846	6015068	True	True	True
R035_14d	R035	14d	SRR2658305	True	True	3280295	4420712	True	True	True
R035_30d	R035	30d	SRR2658306	True	True	3952950	5159894	True	True	True
R036_before	R036	before	SRR2658312	True	True	4045204	5562788	True	True	True
R036_7d	R036	7d	SRR2658311	True	True	4873373	6677742	True	True	True
R036_14d	R036	14d	SRR2658309	True	True	4893221	6496894	True	True	True
R036_30d	R036	30d	SRR2658310	True	True	5126700	6996170	True	True	True
R037_before	R037	before	SRR2658317	True	True	5035500	6964273	True	True	True
R037_7d	R037	7d	SRR2658316	True	True	5718093	7394737	True	True	True
R037_14d	R037	14d	SRR2658313	True	True	3873040	5191282	True	True	True
R037_30d	R037	30d	SRR2658315	True	True	3616006	4918484	True	True	True
R038_before	R038	before	SRR2658321	True	True	5777637	7622481	True	True	True
R038_7d	R038	7d	SRR2658320	True	True	5776269	7671830	True	True	True
R038_14d	R038	14d	SRR2658318	True	True	5436067	7137169	True	True	True
R038_30d	R038	30d	SRR2658319	True	True	5733472	7710239	True	True	True
R041_before	R041	before	SRR2658179	True	True	4854146	6615447	True	True	True
R041_7d	R041	7d	SRR2658324	True	True	5467078	7316499	True	True	True
R041_14d	R041	14d	SRR2658322	True	True	4783312	6463756	True	True	True
R041_30d	R041	30d	SRR2658323	True	True	5016462	6762118	True	True	True
R042_before	R042	before	SRR2658183	True	True	3705801	4973617	True	True	True
R042_7d	R042	7d	SRR2658182	True	True	4539449	6250493	True	True	True
R042_14d	R042	14d	SRR2658180	True	True	4851539	6713201	True	True	True
R042_30d	R042	30d	SRR2658181	True	True	4782694	6742030	True	True	True
R043_before	R043	before	SRR2658187	True	True	4940309	6664295	True	True	True
R043_7d	R043	7d	SRR2658186	True	True	3683796	4927136	True	True	True
R043_14d	R043	14d	SRR2658184	True	True	4120853	5615271	True	True	True
R043_30d	R043	30d	SRR2658185	True	True	5335894	7188377	True	True	True
R044_before	R044	before	SRR2658192	True	True	3888496	5333831	True	True	True
R044_7d	R044	7d	SRR2658191	True	True	2716362	3714346	True	True	True
R044_14d	R044	14d	SRR2658188	True	True	3318756	4482801	True	True	True
R044_30d	R044	30d	SRR2658190	True	True	3095083	4118832	True	True	True
R045_before	R045	before	SRR2658196	True	True	3126815	4202637	True	True	True
R045_7d	R045	7d	SRR2658195	True	True	3689251	4852768	True	True	True
R045_14d	R045	14d	SRR2658193	True	True	3921949	5371275	True	True	True
R045_30d	R045	30d	SRR2658194	True	True	3904143	5314286	True	True	True
R047_before	R047	before	SRR2658201	True	True	3233168	4430950	True	True	True
R047_7d	R047	7d	SRR2658199	True	True	3952781	5384444	True	True	True
R047_14d	R047	14d	SRR2658197	True	True	4810207	6491774	True	True	True
R047_30d	R047	30d	SRR2658198	True	True	3078956	4167718	True	True	True
R048_before	R048	before	SRR2658205	True	True	3447261	4679730	True	True	True
R048_7d	R048	7d	SRR2658204	True	True	4127948	5400061	True	True	True
R048_14d	R048	14d	SRR2658202	True	True	4033953	5316608	True	True	True
R048_30d	R048	30d	SRR2658203	True	True	4475363	5827399	True	True	True
R051_before	R051	before	SRR2658209	True	True	4423499	6135310	True	True	True
R051_7d	R051	7d	SRR2658208	True	True	3767980	5165186	True	True	True
R051_14d	R051	14d	SRR2658206	True	True	3297467	4541971	True	True	True
R051_30d	R051	30d	SRR2658207	True	True	4525161	6120736	True	True	True
R053_before	R053	before	SRR2658214	True	True	3666724	4953427	True	True	True
R053_7d	R053	7d	SRR2658213	True	True	2999349	4068855	True	True	True
R053_14d	R053	14d	SRR2658210	True	True	3385545	4540146	True	True	True
R053_30d	R053	30d	SRR2658212	True	True	3318206	4453762	True	True	True
R054_before	R054	before	SRR2658218	True	True	3858378	5186697	True	True	True
R054_7d	R054	7d	SRR2658217	True	True	4440054	5921470	True	True	True
R054_14d	R054	14d	SRR2658215	True	True	3941815	5295531	True	True	True
R054_30d	R054	30d	SRR2658216	True	True	4234411	5659494	True	True	True
R055_before	R055	before	SRR2658223	True	True	3748119	5068641	True	True	True
R055_7d	R055	7d	SRR2658221	True	True	3029334	4173439	True	True	True
R055_14d	R055	14d	SRR2658219	True	True	3899787	5240188	True	True	True
R055_30d	R055	30d	SRR2658220	True	True	3376838	4494804	True	True	True
