sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
R001_14d	34258	26532	77.45	25880	23493	68.58	22050	64.36
R001_30d	32017	22474	70.19	22005	20542	64.16	19607	61.24
R001_7d	29874	22394	74.96	22079	20574	68.87	18421	61.66
R001_before	29968	22375	74.66	22121	20553	68.58	18024	60.14
R002_14d	35869	27231	75.92	26435	24340	67.86	23331	65.05
R002_30d	36321	22201	61.12	21627	19130	52.67	18719	51.54
R002_7d	36297	27332	75.3	26362	23563	64.92	22562	62.16
R002_before	26512	19718	74.37	19633	18466	69.65	16676	62.9
R003_14d	29046	20350	70.06	20037	18500	63.69	18007	61.99
R003_30d	31101	25401	81.67	24964	23071	74.18	21703	69.78
R003_7d	36647	29409	80.25	28795	26639	72.69	24523	66.92
R003_before	34487	27361	79.34	27190	26356	76.42	21867	63.41
R004_14d	36883	25875	70.15	25212	22338	60.56	19904	53.97
R004_30d	40304	21454	53.23	20756	17257	42.82	16752	41.56
R004_7d	36205	23410	64.66	22814	20065	55.42	19547	53.99
R004_before	31381	24559	78.26	24354	23272	74.16	21398	68.19
R005_14d	43757	32332	73.89	31554	28756	65.72	24174	55.25
R005_30d	37985	31588	83.16	30808	27322	71.93	21708	57.15
R005_7d	40407	24539	60.73	23687	20536	50.82	18868	46.69
R005_before	34236	22483	65.67	22346	21436	62.61	18341	53.57
R006_14d	35161	23711	67.44	23306	21755	61.87	18514	52.65
R006_30d	43473	28868	66.4	28394	26315	60.53	23928	55.04
R006_7d	33840	23680	69.98	23222	21526	63.61	20438	60.4
R006_before	31013	24240	78.16	23995	22410	72.26	19362	62.43
R008_14d	27653	20862	75.44	20692	19843	71.76	18709	67.66
R008_30d	26182	18685	71.37	18514	17387	66.41	15721	60.05
R008_7d	21439	14432	67.32	14309	13321	62.13	11749	54.8
R008_before	19611	11744	59.88	11665	10530	53.69	9344	47.65
R009_14d	30280	23895	78.91	23510	21576	71.25	18957	62.61
R009_30d	42129	24182	57.4	23679	21229	50.39	19566	46.44
R009_7d	40010	21694	54.22	21211	19161	47.89	15566	38.91
R009_before	27817	23520	84.55	23328	21623	77.73	19450	69.92
R010_14d	37170	21246	57.16	20836	18891	50.82	18153	48.84
R010_30d	32613	27034	82.89	26497	25079	76.9	23568	72.27
R010_7d	34535	22762	65.91	22315	20157	58.37	17205	49.82
R010_before	28689	23027	80.26	22916	22062	76.9	20589	71.77
R011_14d	34363	26724	77.77	26480	25053	72.91	24106	70.15
R011_30d	39439	31899	80.88	31350	28443	72.12	25579	64.86
R011_7d	33261	26106	78.49	25799	24329	73.15	24037	72.27
R011_before	31838	22552	70.83	22248	21653	68.01	20900	65.64
R012_14d	38350	29984	78.19	29297	27144	70.78	23546	61.4
R012_30d	34634	25532	73.72	25042	22777	65.76	20198	58.32
R012_7d	41556	27986	67.35	27445	25055	60.29	20224	48.67
R012_before	39309	25876	65.83	25553	23531	59.86	21891	55.69
R013_14d	30219	21239	70.28	21010	20392	67.48	18896	62.53
R013_30d	39834	28400	71.3	28157	27331	68.61	25632	64.35
R013_7d	32704	21996	67.26	21779	21221	64.89	20454	62.54
R013_before	34637	23241	67.1	23181	22886	66.07	22127	63.88
R014_14d	44969	27795	61.81	27514	26941	59.91	25949	57.7
R014_30d	37479	23379	62.38	23208	22759	60.72	22325	59.57
R014_7d	32861	19632	59.74	19492	19008	57.84	18578	56.54
R014_before	38982	27757	71.2	27620	26492	67.96	21561	55.31
R015_14d	28335	21252	75	20975	19792	69.85	18387	64.89
R015_30d	36131	17632	48.8	17274	15127	41.87	12412	34.35
R015_7d	28717	19597	68.24	19311	18213	63.42	16938	58.98
R015_before	22460	19050	84.82	18981	18350	81.7	18027	80.26
R016_14d	23597	12024	50.96	11894	11210	47.51	10979	46.53
R016_30d	32037	17887	55.83	17623	16615	51.86	16128	50.34
R016_7d	31677	23897	75.44	23581	22192	70.06	20492	64.69
R016_before	40145	24973	62.21	24756	23426	58.35	21823	54.36
R017_14d	29037	20584	70.89	20457	20129	69.32	19672	67.75
R017_30d	33636	24152	71.8	23992	23448	69.71	21967	65.31
R017_7d	52948	37544	70.91	37236	35594	67.22	32554	61.48
R017_before	40819	27065	66.3	27041	26997	66.14	26997	66.14
R018_14d	31360	25017	79.77	24832	23316	74.35	23104	73.67
R018_30d	37224	23297	62.59	22939	21314	57.26	19329	51.93
R018_7d	25565	21363	83.56	21106	19838	77.6	18114	70.85
R018_before	24961	16809	67.34	16731	16080	64.42	16069	64.38
R019_14d	27886	23157	83.04	22983	21401	76.74	20857	74.79
R019_30d	38602	31696	82.11	30785	27718	71.8	25670	66.5
R019_7d	34124	28783	84.35	28518	26925	78.9	25901	75.9
R019_before	31584	24060	76.18	23850	21867	69.23	20448	64.74
R020_14d	42364	33900	80.02	33095	30483	71.95	27134	64.05
R020_30d	27243	20062	73.64	19470	17605	64.62	15297	56.15
R020_7d	39754	30359	76.37	29794	27536	69.27	24695	62.12
R020_before	35739	22328	62.48	22099	20286	56.76	17810	49.83
R021_14d	28550	10179	35.65	10032	9346	32.74	9275	32.49
R021_30d	29599	17010	57.47	16678	15533	52.48	15062	50.89
R021_7d	22323	17040	76.33	16851	16166	72.42	16058	71.93
R021_before	24331	19440	79.9	19334	18646	76.63	18119	74.47
R022_14d	34000	22898	67.35	22650	20785	61.13	18938	55.7
R022_30d	32574	17615	54.08	17405	16237	49.85	16125	49.5
R022_7d	32790	26904	82.05	26571	25121	76.61	23353	71.22
R022_before	26398	18457	69.92	18390	17840	67.58	17022	64.48
R023_14d	28099	22499	80.07	22235	20863	74.25	18772	66.81
R023_30d	26370	19608	74.36	19313	17568	66.62	16009	60.71
R023_7d	32066	23175	72.27	22977	22050	68.76	20322	63.38
R023_before	16229	10378	63.95	10302	9761	60.15	9615	59.25
R024_14d	33078	26600	80.42	26069	24176	73.09	22746	68.76
R024_30d	28516	22029	77.25	21565	19873	69.69	18387	64.48
R024_7d	31495	23454	74.47	23039	20990	66.65	19459	61.78
R024_before	36003	26487	73.57	26355	23346	64.84	21818	60.6
R025_14d	47048	32619	69.33	32298	31307	66.54	29114	61.88
R025_30d	42222	28669	67.9	28385	27620	65.42	26917	63.75
R025_7d	44981	31071	69.08	30751	29794	66.24	27808	61.82
R025_before	42761	29498	68.98	29423	28958	67.72	27269	63.77
R026_14d	48864	34947	71.52	34387	32362	66.23	27433	56.14
R026_30d	53219	38814	72.93	38205	36607	68.79	33295	62.56
R026_7d	49442	33665	68.09	33155	31695	64.11	29395	59.45
R026_before	46239	30224	65.36	30127	29441	63.67	28614	61.88
R027_14d	38988	26979	69.2	26651	25418	65.19	23961	61.46
R027_30d	40416	28436	70.36	28139	27493	68.03	26960	66.71
R027_7d	43366	29916	68.98	29662	28891	66.62	25918	59.77
R027_before	30341	20312	66.95	20248	19569	64.5	19295	63.59
R028_14d	41392	26391	63.76	26175	25487	61.57	24909	60.18
R028_30d	41946	27196	64.84	26977	26148	62.34	24719	58.93
R028_7d	38376	26462	68.95	26271	25575	66.64	24316	63.36
R028_before	22670	17138	75.6	17098	16711	73.71	16141	71.2
R030_14d	53155	35210	66.24	34766	33432	62.9	31784	59.79
R030_30d	49759	35160	70.66	34632	32944	66.21	28799	57.88
R030_7d	41312	29348	71.04	29016	27550	66.69	24837	60.12
R030_before	38348	25665	66.93	25635	25478	66.44	25362	66.14
R032_14d	51550	34111	66.17	33738	32283	62.62	30964	60.07
R032_30d	37210	26540	71.32	26053	24656	66.26	22136	59.49
R032_7d	57492	39992	69.56	39771	38930	67.71	33827	58.84
R032_before	33363	23764	71.23	23634	22465	67.34	20201	60.55
R033_14d	38132	27320	71.65	26944	25935	68.01	24269	63.64
R033_30d	44616	32166	72.1	31738	30097	67.46	27316	61.22
R033_7d	42630	29310	68.75	28979	27718	65.02	24397	57.23
R033_before	34213	22771	66.56	22678	22013	64.34	20836	60.9
R034_14d	35783	23233	64.93	22955	21960	61.37	20902	58.41
R034_30d	45234	30624	67.7	30107	28740	63.54	27268	60.28
R034_7d	43928	28699	65.33	28316	27229	61.99	26159	59.55
R034_before	44342	30145	67.98	29997	29223	65.9	28636	64.58
R035_14d	31089	22563	72.58	22368	21957	70.63	21062	67.75
R035_30d	36148	24981	69.11	24678	23928	66.19	22189	61.38
R035_7d	43625	30708	70.39	30317	28857	66.15	23775	54.5
R035_before	39887	27221	68.25	27123	26486	66.4	24428	61.24
R036_14d	45650	30341	66.46	30089	29467	64.55	28524	62.48
R036_30d	47916	33130	69.14	32821	32139	67.07	31513	65.77
R036_7d	46266	31219	67.48	31072	30788	66.55	30456	65.83
R036_before	39649	26925	67.91	26871	25635	64.65	25142	63.41
R037_14d	35337	25596	72.43	24999	23557	66.66	21227	60.07
R037_30d	34003	24457	71.93	24262	23586	69.36	22755	66.92
R037_7d	51181	35996	70.33	35622	34725	67.85	33430	65.32
R037_before	48201	31868	66.11	31699	30621	63.53	29488	61.18
R038_14d	49062	35447	72.25	34956	33699	68.69	31028	63.24
R038_30d	53721	39116	72.81	38677	37163	69.18	32392	60.3
R038_7d	52897	37323	70.56	36868	35676	67.44	32088	60.66
R038_before	55551	38204	68.77	38062	37362	67.26	35564	64.02
R041_14d	44077	30433	69.05	30259	29720	67.43	29034	65.87
R041_30d	45783	31090	67.91	30839	30107	65.76	29472	64.37
R041_7d	49363	34440	69.77	34028	33086	67.03	31719	64.26
R041_before	48056	31860	66.3	31811	31373	65.28	30358	63.17
R042_14d	45908	31039	67.61	30570	29315	63.86	28269	61.58
R042_30d	45876	29496	64.3	29067	27772	60.54	26004	56.68
R042_7d	43223	29010	67.12	28703	28012	64.81	27205	62.94
R042_before	35721	22994	64.37	22909	22395	62.69	21092	59.05
R043_14d	39136	28990	74.08	28497	26780	68.43	22549	57.62
R043_30d	49468	35750	72.27	35256	33552	67.83	30817	62.3
R043_7d	33254	23930	71.96	23635	22919	68.92	22321	67.12
R043_before	47798	31327	65.54	31221	30763	64.36	28776	60.2
R044_14d	30465	21063	69.14	20664	19895	65.3	19191	62.99
R044_30d	28027	19886	70.95	19698	19246	68.67	19152	68.33
