Sample ID	Frequency	No. of Associated Features
#q2:types	categorical	categorical
R001_14d	22,050.0	93
R001_30d	19,607.0	79
R001_7d	18,421.0	61
R001_before	18,024.0	29
R002_14d	23,331.0	95
R002_30d	18,719.0	79
R002_7d	22,562.0	97
R002_before	16,676.0	18
R003_14d	18,007.0	74
R003_30d	21,703.0	87
R003_7d	24,523.0	96
R003_before	21,867.0	20
R004_14d	19,904.0	89
R004_30d	16,752.0	96
R004_7d	19,547.0	96
R004_before	21,398.0	11
R005_14d	24,174.0	93
R005_30d	21,708.0	94
R005_7d	18,868.0	81
R005_before	18,341.0	12
R006_14d	18,514.0	70
R006_30d	23,928.0	90
R006_7d	20,438.0	75
R006_before	19,362.0	29
R008_14d	18,709.0	49
R008_30d	15,721.0	17
R008_7d	11,749.0	20
R008_before	9,344.0	10
R009_14d	18,957.0	60
R009_30d	19,566.0	70
R009_7d	15,566.0	62
R009_before	19,450.0	19
R010_14d	18,153.0	77
R010_30d	23,568.0	88
R010_7d	17,205.0	52
R010_before	20,589.0	18
R011_14d	24,106.0	48
R011_30d	25,579.0	63
R011_7d	24,037.0	54
R011_before	20,900.0	11
R012_14d	23,546.0	84
R012_30d	20,198.0	76
R012_7d	20,224.0	73
R012_before	21,891.0	38
R013_14d	18,896.0	80
R013_30d	25,632.0	83
R013_7d	20,454.0	89
R013_before	22,127.0	22
R014_14d	25,949.0	69
R014_30d	22,325.0	66
R014_7d	18,578.0	45
R014_before	21,561.0	21
R015_14d	18,387.0	67
R015_30d	12,412.0	48
R015_7d	16,938.0	55
R015_before	18,027.0	10
R016_14d	10,979.0	32
R016_30d	16,128.0	43
R016_7d	20,492.0	57
R016_before	21,823.0	34
R017_14d	19,672.0	64
R017_30d	21,967.0	79
R017_7d	32,554.0	87
R017_before	26,997.0	8
R018_14d	23,104.0	37
R018_30d	19,329.0	44
R018_7d	18,114.0	58
R018_before	16,069.0	15
R019_14d	20,857.0	42
R019_30d	25,670.0	108
R019_7d	25,901.0	47
R019_before	20,448.0	18
R020_14d	27,134.0	99
R020_30d	15,297.0	70
R020_7d	24,695.0	64
R020_before	17,810.0	13
R021_14d	9,275.0	28
R021_30d	15,062.0	42
R021_7d	16,058.0	38
R021_before	18,119.0	21
R022_14d	18,938.0	43
R022_30d	16,125.0	33
R022_7d	23,353.0	47
R022_before	17,022.0	5
R023_14d	18,772.0	58
R023_30d	16,009.0	69
R023_7d	20,322.0	41
R023_before	9,615.0	15
R024_14d	22,746.0	71
R024_30d	18,387.0	65
R024_7d	19,459.0	56
R024_before	21,818.0	20
R025_14d	29,114.0	77
R025_30d	26,917.0	79
R025_7d	27,808.0	82
R025_before	27,269.0	11
R026_14d	27,433.0	109
R026_30d	33,295.0	116
R026_7d	29,395.0	124
R026_before	28,614.0	34
R027_14d	23,961.0	105
R027_30d	26,960.0	104
R027_7d	25,918.0	82
R027_before	19,295.0	20
R028_14d	24,909.0	83
R028_30d	24,719.0	80
R028_7d	24,316.0	46
R028_before	16,141.0	25
R030_14d	31,784.0	124
R030_30d	28,799.0	95
R030_7d	24,837.0	112
R030_before	25,362.0	14
R032_14d	30,964.0	106
R032_30d	22,136.0	94
R032_7d	33,827.0	60
R032_before	20,201.0	22
R033_14d	24,269.0	107
R033_30d	27,316.0	115
R033_7d	24,397.0	95
R033_before	20,836.0	21
R034_14d	20,902.0	90
R034_30d	27,268.0	111
R034_7d	26,159.0	109
R034_before	28,636.0	29
R035_14d	21,062.0	76
R035_30d	22,189.0	84
R035_7d	23,775.0	68
R035_before	24,428.0	27
R036_14d	28,524.0	70
R036_30d	31,513.0	104
R036_7d	30,456.0	71
R036_before	25,142.0	19
R037_14d	21,227.0	100
R037_30d	22,755.0	103
R037_7d	33,430.0	121
R037_before	29,488.0	24
R038_14d	31,028.0	92
R038_30d	32,392.0	51
R038_7d	32,088.0	69
R038_before	35,564.0	22
R041_14d	29,034.0	119
R041_30d	29,472.0	127
R041_7d	31,719.0	141
R041_before	30,358.0	18
R042_14d	28,269.0	117
R042_30d	26,004.0	86
R042_7d	27,205.0	88
R042_before	21,092.0	20
R043_14d	22,549.0	106
R043_30d	30,817.0	135
R043_7d	22,321.0	118
R043_before	28,776.0	27
R044_14d	19,191.0	96
R044_30d	19,152.0	107
R044_7d	17,060.0	71
R044_before	23,008.0	38
R045_14d	24,854.0	88
R045_30d	21,986.0	74
R045_7d	20,751.0	96
R045_before	19,229.0	32
R047_14d	27,105.0	116
R047_30d	16,303.0	80
R047_7d	23,542.0	110
R047_before	20,430.0	13
R048_14d	22,880.0	93
R048_30d	25,018.0	79
R048_7d	20,927.0	83
R048_before	18,601.0	23
R051_14d	19,749.0	83
R051_30d	27,405.0	100
R051_7d	22,297.0	99
R051_before	24,360.0	46
