metric	state_1	state_2	n_pairs	median_state_1	median_state_2	median_change	wilcoxon_statistic	p_value	q_value_bh	significant_fdr_0.05
observed_features	before	7d	52	20.0	72.0	49.5	0.0	3.4892442811390817e-10	7.400448649973497e-10	True
observed_features	before	14d	52	20.0	82.5	59.0	1.0	3.7002243249867487e-10	7.400448649973497e-10	True
observed_features	before	30d	52	20.0	82.5	61.0	0.0	3.484868819136886e-10	7.400448649973497e-10	True
observed_features	7d	14d	52	72.0	82.5	5.0	455.0	0.051169451816792534	0.06140334218015104	False
observed_features	7d	30d	52	72.0	82.5	3.0	422.0	0.03743198286016166	0.05614797429024249	False
observed_features	14d	30d	52	82.5	82.5	3.5	652.0	0.7360355048416423	0.7360355048416423	False
shannon	before	7d	52	2.4024103441238998	4.190407739588601	1.7899660705091127	3.0	4.1748860104862094e-10	1.0535245347794792e-09	True
shannon	before	14d	52	2.4024103441238998	4.54515719434746	2.161564959767484	7.0	5.267622673897396e-10	1.0535245347794792e-09	True
shannon	before	30d	52	2.4024103441238998	4.399915439766163	2.1746719458478854	0.0	3.503864964208263e-10	1.0535245347794792e-09	True
shannon	7d	14d	52	4.190407739588601	4.54515719434746	0.01873406716809667	586.0	0.3482380267545514	0.3482380267545514	False
shannon	7d	30d	52	4.190407739588601	4.399915439766163	0.1883142731218821	430.0	0.018339498247700026	0.02750924737155004	True
shannon	14d	30d	52	4.54515719434746	4.399915439766163	0.08192303861937855	536.0	0.16351148204628452	0.19621377845554142	False
faith_pd	before	7d	52	2.6776211930653426	6.887475736238559	4.34586398402671	0.0	3.503864964208263e-10	7.007729928416526e-10	True
faith_pd	before	14d	52	2.6776211930653426	7.070481581524854	4.537453716823064	0.0	3.503864964208263e-10	7.007729928416526e-10	True
faith_pd	before	30d	52	2.6776211930653426	7.297076802198262	4.502531511170229	0.0	3.503864964208263e-10	7.007729928416526e-10	True
faith_pd	7d	14d	52	6.887475736238559	7.070481581524854	0.38737414924132807	421.0	0.014660706668734999	0.0219910600031025	True
faith_pd	7d	30d	52	6.887475736238559	7.297076802198262	0.2015400612347873	501.0	0.08687817840638239	0.10425381408765885	False
faith_pd	14d	30d	52	7.070481581524854	7.297076802198262	0.015207552302449301	671.0	0.8697905791376359	0.8697905791376359	False
evenness	before	7d	52	0.560096154337152	0.6859968180385159	0.14144336156187615	115.0	1.7193802918457694e-07	3.4387605836915387e-07	True
evenness	before	14d	52	0.560096154337152	0.7080633541967729	0.14388428686880225	110.0	1.342812451064946e-07	3.4387605836915387e-07	True
evenness	before	30d	52	0.560096154337152	0.7135923823142547	0.17220758757881643	21.0	1.176453647587144e-09	7.058721885522865e-09	True
evenness	7d	14d	52	0.6859968180385159	0.7080633541967729	0.010227520323011996	650.0	0.7224624239878545	0.7224624239878545	False
evenness	7d	30d	52	0.6859968180385159	0.7135923823142547	0.015693223640699416	475.0	0.05130973597887481	0.07696460396831221	False
evenness	14d	30d	52	0.7080633541967729	0.7135923823142547	0.018327115895979795	513.0	0.10897498710250317	0.13076998452300378	False
