metric	state_1	state_2	n_pairs	median_state_1	median_state_2	median_change	wilcoxon_statistic	p_value	q_value_bh	significant_fdr_0.05
bray_curtis	7d	14d	52	0.9562666666666667	0.9751333333333334	0.003200000000000036	450.0	0.0702973764824457	0.1067500703344923	False
bray_curtis	7d	30d	52	0.9562666666666667	0.9714	0.004066666666666607	470.5	0.0711667135563282	0.1067500703344923	False
bray_curtis	14d	30d	52	0.9751333333333334	0.9714	6.666666666671484e-05	570.5	0.6760995355196033	0.6760995355196033	False
jaccard	7d	14d	52	0.950816367667809	0.953569511540526	0.008600850273200011	323.0	0.0014376734452401206	0.002156510167860181	True
jaccard	7d	30d	52	0.950816367667809	0.9561369757599076	0.013563719597095902	297.0	0.0003571020545220848	0.0010713061635662545	True
jaccard	14d	30d	52	0.953569511540526	0.9561369757599076	0.001243596002809877	569.0	0.37826051197098143	0.37826051197098143	False
weighted_unifrac	7d	14d	52	0.45094034075737	0.46499551832675934	0.006814047694206238	648.0	0.7088629747192898	0.912978029438639	False
weighted_unifrac	7d	30d	52	0.45094034075737	0.4664770215749741	-0.011442750692367554	677.0	0.912978029438639	0.912978029438639	False
weighted_unifrac	14d	30d	52	0.46499551832675934	0.4664770215749741	0.002414494752883911	656.0	0.7637742502081931	0.912978029438639	False
unweighted_unifrac	7d	14d	52	0.7608660459518433	0.7819859981536865	0.015894383192062378	346.0	0.0017860917699018596	0.005358275309705579	True
unweighted_unifrac	7d	30d	52	0.7608660459518433	0.7719511091709137	0.01751646399497986	425.0	0.01620674994455849	0.024310124916837737	True
unweighted_unifrac	14d	30d	52	0.7819859981536865	0.7719511091709137	-0.014465510845184326	459.0	0.03620737986131808	0.03620737986131808	True
