taxon	comparison	lfc	p_value	q_value	significant	direction
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	7d_vs_before	6.743999912609106	5.288420461091736e-162	2.2211365936585293e-160	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	7d_vs_before	5.538069054209155	3.342538727087774e-145	7.019331326884326e-144	True	increased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	7d_vs_before	5.781136681128961	2.743132057937539e-71	3.840384881112555e-70	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	7d_vs_before	3.8713073327687777	3.809592058156599e-62	4.000071661064429e-61	True	increased
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae	7d_vs_before	3.119756633170756	8.517257164362145e-30	7.154496018064201e-29	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Monoglobales;f__Monoglobaceae	7d_vs_before	2.667848034793702	1.8513442314494768e-29	1.2959409620146335e-28	True	increased
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	7d_vs_before	-4.173235637650526	5.0431519642392655e-28	3.0258911785435596e-27	True	decreased
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	7d_vs_before	2.760003225766928	9.223547164337057e-28	4.8423622612769546e-27	True	increased
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	7d_vs_before	3.928796171403369	2.381917130290173e-27	1.1023707262023227e-26	True	increased
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	7d_vs_before	-4.134932328886952	2.6246922052436256e-27	1.1023707262023227e-26	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae	7d_vs_before	2.858400531819488	1.7774323176971988e-25	6.786559758480214e-25	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	7d_vs_before	2.3622065169182216	5.782381164017378e-23	2.0238334074060824e-22	True	increased
d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae	7d_vs_before	-3.3793198623758243	2.1180656202599707e-21	6.842981234686058e-21	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group	7d_vs_before	2.4045974730423643	4.561856747878542e-18	1.3685570243635627e-17	True	increased
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	7d_vs_before	1.7954253478019904	8.406311042492121e-18	2.3537670918977937e-17	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae	7d_vs_before	1.9619673585056383	1.3384937658278073e-17	3.5135461352979936e-17	True	increased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	7d_vs_before	2.2326693290778525	2.2477397622850496e-17	5.55323941270424e-17	True	increased
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	7d_vs_before	2.266516346279717	8.162666094193937e-17	1.904622088645252e-16	True	increased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	7d_vs_before	2.061443387418162	7.36319024043342e-14	1.6276525794642297e-13	True	increased
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae	7d_vs_before	-1.938319569438241	3.057971038450426e-12	6.421739180745895e-12	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae	7d_vs_before	2.124483515465406	6.668477603281472e-10	1.3336955206562944e-09	True	increased
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae	7d_vs_before	2.8418798816674764	1.1157125304420103e-09	2.129996649025656e-09	True	increased
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	7d_vs_before	-1.5386352264469798	3.4589374337975664e-06	6.316320531282513e-06	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Christensenellaceae	7d_vs_before	1.0238576166922846	7.159887630135515e-06	1.2529803352737152e-05	True	increased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	7d_vs_before	0.6582719576084	7.065823132496709e-05	0.00011870582862594472	True	increased
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	7d_vs_before	-0.9978445674531992	0.0006217693445754114	0.0010043966335448	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae	7d_vs_before	0.4675992303485514	0.0040900578016366	0.0063623121358792	True	increased
d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	7d_vs_before	0.8152281994979544	0.0049425064667466	0.00741375970012	True	increased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	7d_vs_before	-0.4004441637097489	0.0090246727831764	0.0130702157549451	True	decreased
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis	7d_vs_before	0.4563652163586932	0.0157398521198272	0.0220357929677581	True	increased
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	7d_vs_before	-0.4884629570335754	0.0176930144792607	0.0239711809073855	True	decreased
d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	7d_vs_before	0.6243036890656235	0.0550208621937552	0.0722148816293038	False	increased
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	7d_vs_before	-0.1880671708244731	0.1290011658427871	0.1641833019817291	False	decreased
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Chloroplast;f__Incertae_Sedis	7d_vs_before	-0.2464938873713099	0.1423658420193644	0.1709298556787389	False	decreased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae	7d_vs_before	0.2183268293102363	0.1424415463989491	0.1709298556787389	False	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI	7d_vs_before	-0.191401987857697	0.2305930214350026	0.2690251916741697	False	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae	7d_vs_before	0.1291814232661688	0.2810159926240357	0.318991126762419	False	increased
d__Bacteria;p__Bacillota;c__Clostridia;__;__	7d_vs_before	0.1150309858867549	0.432036528546993	0.4775140578677292	False	increased
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae	7d_vs_before	0.2840035117757997	0.4706434060125809	0.503835382942961	False	increased
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae	7d_vs_before	0.1472000337201818	0.4798432218504391	0.503835382942961	False	increased
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	7d_vs_before	-0.1954906787359359	0.4950937852202066	0.5071692433963092	False	decreased
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	7d_vs_before	-0.0047502650810832	0.9777709896739402	0.9777709896739402	False	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	14d_vs_before	5.751316319434119	1.1887095352152691e-166	4.992580047904131e-165	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	14d_vs_before	6.605343054849404	9.297587658563396e-164	1.9524934082983127e-162	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	14d_vs_before	4.116007472140008	4.2829230653131016e-88	5.9960922914383435e-87	True	increased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	14d_vs_before	5.6047701101118585	2.9068295058712337e-79	3.052170981164796e-78	True	increased
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	14d_vs_before	-5.100888665836883	3.894846185304165e-42	3.271670795655498e-41	True	decreased
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae	14d_vs_before	3.2798932224439428	2.5140038758642517e-35	1.7598027131049766e-34	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Monoglobales;f__Monoglobaceae	14d_vs_before	2.801095954844641	3.5201549217523856e-32	2.1120929530514317e-31	True	increased
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	14d_vs_before	-4.436163473223167	6.895789082801955e-31	3.6202892684710266e-30	True	decreased
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	14d_vs_before	2.7192746520238726	3.631814680182339e-30	1.6948468507517585e-29	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	14d_vs_before	2.5369334988420147	2.6143516016212583e-28	1.0980276726809284e-27	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group	14d_vs_before	2.8985568795459367	4.6267966157659985e-27	1.7665950714742908e-26	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae	14d_vs_before	2.1043686084967894	3.571828285320684e-22	1.2501398998622393e-21	True	increased
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	14d_vs_before	2.2620072856558915	7.438363644485025e-21	2.4031636389874692e-20	True	increased
d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae	14d_vs_before	-3.272236357644179	1.5586467455439906e-19	4.675940236631972e-19	True	decreased
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	14d_vs_before	3.3367118707556025	1.7422477714706678e-19	4.878293760117868e-19	True	increased
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	14d_vs_before	1.850750454094206	2.321108391506437e-19	6.092909527704396e-19	True	increased
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae	14d_vs_before	-2.4047180601912337	2.9681285436134857e-19	7.333023460692141e-19	True	decreased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	14d_vs_before	2.1323186392679667	1.4454748781158941e-18	3.372774715603753e-18	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae	14d_vs_before	2.443047591924209	2.2629261729782168e-17	5.002257856057112e-17	True	increased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	14d_vs_before	2.150511451839958	7.071142495361605e-16	1.4849399240259369e-15	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae	14d_vs_before	2.084673198103258	5.938388528507568e-10	1.1876777057015139e-09	True	increased
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	14d_vs_before	-1.8338658464277096	2.617930077733361e-08	4.997866512036417e-08	True	decreased
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae	14d_vs_before	2.47288741142892	1.647069979980035e-07	3.007693006920064e-07	True	increased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	14d_vs_before	-0.7754110210733467	2.9955443838571224e-07	5.242202671749964e-07	True	decreased
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	14d_vs_before	-0.5796896120291588	6.859599320683676e-07	1.1524126858748577e-06	True	decreased
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	14d_vs_before	-1.2029671840039808	5.157905068376607e-05	8.332000495069903e-05	True	decreased
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Chloroplast;f__Incertae_Sedis	14d_vs_before	-0.6794882313025922	5.446870742054418e-05	8.472910043195761e-05	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Christensenellaceae	14d_vs_before	0.9317120147978768	6.913592255299193e-05	0.0001037038838294879	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae	14d_vs_before	-0.3702044605558094	0.00023631436778916653	0.00034224839472913774	True	decreased
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	14d_vs_before	-0.5396427754974771	0.0062267154430026	0.0087174016202036	True	decreased
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	14d_vs_before	-0.594663846206411	0.0298291863060382	0.0404137362856002	True	decreased
d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	14d_vs_before	0.5667331358048925	0.0486308670804068	0.0638280130430339	False	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae	14d_vs_before	0.3038911373449461	0.0700321641909201	0.0891318453338984	False	increased
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis	14d_vs_before	0.3296796981902372	0.0912101412098702	0.1126713509063102	False	increased
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	14d_vs_before	-0.1781652534106554	0.2111749200264503	0.2534099040317404	False	decreased
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae	14d_vs_before	-0.249566171876168	0.2280226487252307	0.2660264235127692	False	decreased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae	14d_vs_before	-0.0897058535305307	0.5661383942398881	0.6426435826506838	False	decreased
