taxon	significant_timepoints	comparisons	directions	min_q
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	4.992580047904131e-165
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.9524934082983127e-162
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	5.9960922914383435e-87
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	3.052170981164796e-78
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	7.78865977730967e-56
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	2.724790819324565e-49
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	5.516545206821422e-40
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.7598027131049766e-34
d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	5.363207903420088e-32
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	1.28210107424019e-31
d__Bacteria;p__Bacillota;c__Clostridia;o__Monoglobales;f__Monoglobaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	2.1120929530514317e-31
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.6948468507517585e-29
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.0980276726809284e-27
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.1023707262023227e-26
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.7665950714742908e-26
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	6.786559758480214e-25
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.2501398998622393e-21
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	2.4031636389874692e-20
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	6.092909527704396e-19
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	3.372774715603753e-18
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	1.9777638065568968e-17
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	5.55323941270424e-17
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	8.480792744478708e-17
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	6.371453034103742e-15
d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.1876777057015139e-09
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	2.129996649025656e-09
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	2	14d_vs_before;30d_vs_before	decreased;decreased	3.843012151844961e-36
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Chloroplast;f__Incertae_Sedis	2	14d_vs_before;30d_vs_before	decreased;decreased	1.5850286543430908e-33
d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae	2	14d_vs_before;30d_vs_before	decreased;decreased	9.296885963574075e-32
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	2	14d_vs_before;30d_vs_before	decreased;decreased	2.0830657534379142e-09
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	2	30d_vs_before;7d_vs_before	increased;decreased	6.244470636643587e-08
d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae	2	30d_vs_before;7d_vs_before	increased;decreased	1.8379577749827634e-07
d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Christensenellaceae	2	14d_vs_before;7d_vs_before	increased;increased	1.2529803352737152e-05
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis	2	30d_vs_before;7d_vs_before	increased;decreased	0.0031222630160898
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae	1	30d_vs_before	decreased	3.024285899683399e-12
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae	1	30d_vs_before	decreased	9.293792920759519e-12
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	1	30d_vs_before	decreased	3.3694515778417443e-10
d__Bacteria;p__Bacillota;c__Clostridia;__;__	1	30d_vs_before	decreased	3.3694515778417443e-10
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI	1	30d_vs_before	decreased	4.507452641737214e-08
d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	1	7d_vs_before	increased	0.00741375970012
