taxon	significant_timepoints	comparisons	directions	min_q
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	7.221777350637229e-182
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	4.7110198728814505e-124
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	7.739454431429053e-124
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	3.938768441288144e-93
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.1407102311838366e-74
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Acutalibacter	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.050301489758814e-58
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	7.547766053255094e-56
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	5.9867339469900525e-52
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	2.5164357618088663e-47
d__Bacteria;p__Bacillota;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.3328064183387531e-40
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	3.180094908031882e-37
d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	4.1808410792349406e-35
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	9.482391694337597e-35
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	3.584408138581657e-32
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	2.6549976956873024e-31
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.0849036835768507e-30
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__Incertae_Sedis	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.1618158942242098e-30
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	3.005475079205777e-27
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	8.156092961523487e-26
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.2687651336625754e-25
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.267222073921128e-23
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.974723552467223e-23
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	7.576618572195253e-23
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	8.021901205225055e-23
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	4.134872836950215e-18
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	2.0045771380507272e-16
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	7.174167118848978e-16
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.240615476489128e-15
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	1.9569357443799397e-15
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gauvreauii_group	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	7.571168687194868e-14
d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	1.326686803000973e-13
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	8.823448503983656e-13
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	1.1788686084902965e-12
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	3.456516867641336e-12
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	4.875382534911397e-12
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.1231034090216331e-11
d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.546934350916365e-11
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	2.676557297739726e-11
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	1.7727658744868829e-10
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	3.854945576273997e-10
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_AD3011_group	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	9.117483156621907e-10
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__DTU089	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	4.4681206122169864e-09
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.5583569085042846e-08
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	2.3969279816199397e-08
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	2.4037921139159792e-08
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	4.8472160302567485e-08
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.1317436615325488e-07
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.928623847330434e-07
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	3.194267061719497e-07
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;__	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	6.163637883698479e-07
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Thomasclavelia	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.537506637871147e-06
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.6315003312056903e-06
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Extibacter	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.6645294677982423e-06
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.75484654917927e-06
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	2.9902757898769206e-06
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	5.460116348528382e-06
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	1.3691062274063676e-05
d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	1.5923765254449073e-05
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	1.668133521829186e-05
d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	2.560085446495429e-05
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	2.58617916958394e-05
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	2.8314880780989152e-05
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	0.00016588926845331994
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	0.00022654251485289509
d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	0.00029716529911868854
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Chloroplast;f__Incertae_Sedis;g__Incertae_Sedis	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	0.00029716529911868854
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	0.0006438752625074443
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Schaalia	3	14d_vs_before;30d_vs_before;7d_vs_before	decreased;decreased;decreased	0.0007464872002772615
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	0.0008379314629239746
d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	3	14d_vs_before;30d_vs_before;7d_vs_before	increased;increased;increased	0.0214006403712361
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas	2	14d_vs_before;30d_vs_before	increased;increased	6.2294250103806015e-06
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter	2	30d_vs_before;7d_vs_before	decreased;decreased	2.560085446495429e-05
d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae;g__Anaerofustis	1	14d_vs_before	decreased	0.0013817969588558
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas	1	7d_vs_before	increased	0.0020326620045865
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis	1	14d_vs_before	increased	0.0022968271384316
d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	1	7d_vs_before	decreased	0.0085824727373874
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter	1	30d_vs_before	increased	0.0142436193086472
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575	1	30d_vs_before	decreased	0.0205946407585728
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005	1	30d_vs_before	increased	0.023674803592863
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_brachy_group	1	30d_vs_before	increased	0.0302076359064607
