taxon	7d_vs_before	14d_vs_before	30d_vs_before	mean_lfc	significant_timepoints	min_q	label
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__	-6.802356863344868	-7.796780514949274	-7.999620688751115	-7.532919355681752	3	7.739454431429053e-124	Enterobacteriaceae
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus	-4.541575544216471	-4.752183942278559	-4.938998830053301	-4.744252772182777	3	2.5164357618088663e-47	Lacticaseibacillus
d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	-4.192054122200684	-4.313256834610933	-4.148636524346894	-4.217982493719504	3	4.180841079234941e-35	Veillonella
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus	-3.850688739460774	-3.841967453326966	-3.8917583842132606	-3.861471525667	3	9.482391694337595e-35	Lactiplantibacillus
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus	-2.8962024900853813	-3.1283536942464387	-3.0137761904577345	-3.012777458263185	3	1.95693574437994e-15	Ligilactobacillus
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	-1.9499242509917225	-2.645871593225669	-2.7413918171991134	-2.4457292204721686	3	3.854945576273997e-10	Escherichia-Shigella
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus	-1.909226533735949	-2.20393090080703	-2.3917002019832063	-2.168285878842062	3	2.0045771380507272e-16	Pediococcus
d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera	-2.0269995250798374	-2.0121781486127204	-2.014129947564287	-2.0177692070856152	3	1.326686803000973e-13	Megasphaera
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus	-1.405163596418796	-1.711313694286365	-1.6223972022924935	-1.579624830999218	3	1.1788686084902965e-12	Proteus
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	-1.5136729525858228	-1.5854124542548056	-1.4142674669561135	-1.5044509579322474	3	2.9902757898769206e-06	Fusobacterium
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	3.0936183610355306	2.918106709850459	3.4834144884048164	3.1650465197636017	3	8.156092961523487e-26	Agathobacter
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	3.769585868515213	3.3998256210942848	2.7419415954076136	3.3037843616723706	3	1.974723552467223e-23	Bifidobacterium
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum	3.1315356773179026	3.53133676742006	3.955524261142704	3.539465568626889	3	2.6549976956873024e-31	Anaerobutyricum
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter	3.683853535913945	3.5807859082565465	3.803094026869101	3.6892444903465305	3	7.547766053255094e-56	Mediterraneibacter
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	3.4074504402370995	3.777376811479858	3.888404563004156	3.6910772715737044	3	3.180094908031882e-37	Faecalibacterium
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	3.5272472394730348	4.02996498319073	3.966340691056161	3.8411843045733085	3	5.986733946990053e-52	Anaerostipes
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	4.557836936416125	4.620895171926122	4.5183593416392265	4.565697149993825	3	3.9387684412881436e-93	Dorea
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	5.521616594232524	5.477351358857896	5.728349631888259	5.575772528326226	3	7.221777350637229e-182	Lachnospiraceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	5.614182243178607	5.660884235237971	5.731347171109606	5.6688045498420605	3	1.1407102311838366e-74	Bacteroides
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	5.477057942891775	5.863275665467006	5.947861992575088	5.762731866977956	3	4.7110198728814505e-124	Blautia
