Feature ID	Frequency	No. of Samples Observed In
#q2:types	categorical	categorical
fd44d4cb468fd7dc9b3227867714ed87	7,886.0	4
b4d07c2a22af0c99c73cf9722200d878	6,218.0	4
5a6c87d6a4eb5e114959f6192f29b641	4,279.0	3
c6c3ab4e828fb40d6e05967b7aac9338	3,858.0	4
1b8dec58597978264025b9eba656ffb5	3,738.0	3
333bbf9224442fc10cd497377d2b1d01	2,960.0	4
9d88acce7b2f13b58bf95d2f17ec8c2f	2,487.0	1
2c982937754e6321f861027032db80f7	2,404.0	3
b15193fce14759d1c06728933e044af6	2,206.0	1
f5f5e0da89730462abaf6301a9557193	2,164.0	4
6616dc3bd6aeb3e26b9b2218290ea574	2,117.0	1
35ffcc3b809d667286737d79670b8de5	2,070.0	4
0a68ec564e278b0246c920ad7de41880	1,876.0	4
76b39e86c95e0c7dd8b9c57b974f6532	1,809.0	4
07b148ebe6cc2c05b1faa8d187c51114	1,773.0	1
243a590b7a6c17e5a16dff4bc7033ac1	1,416.0	1
836cd5ea357ad392c00a7e48d921be1d	1,386.0	4
33518e48b174ac428cb7be1a216c6c6e	1,364.0	4
d46e2205f0c6ecf67b51f83d111c509c	1,269.0	3
69a11f927915e2a3ba1f7b9c84486527	1,050.0	4
8d0960075b9fc8ec7a5ca93e13c36da4	990.0	1
fbd67349783ebeacc69814257b694d56	931.0	2
91587a85e342f8dba27f54e15ac0ea77	800.0	3
9639a3291729a3758207b47715d9205f	777.0	1
547ed9d63f007845c48db64ef3e5aab6	729.0	4
9db6065dfa5f306778c1a370f3267d73	704.0	3
59777186ad2e0947e97615b5d6225136	652.0	3
332a6411ff00b4010ac2397f504c4695	628.0	1
1569f7ae988e26c905ab8fab427c8a0d	605.0	3
8e175abe6a746b8f33bae9cd7c8192bb	600.0	2
9e3226efaf559eb14a478f880462cb8a	559.0	4
9ea77e95fbfd1a99c9c28db3b03a01a8	550.0	1
ec6732c2e0d4cf64b3d0350e7fe3defb	543.0	3
506ee17cb5d882636086031fa2232f11	532.0	1
f4cc6e4932f507b33d1335d801f54563	451.0	4
2e4f2b53b856c4def6d021d01f5abb70	441.0	4
2de5ccd5d5d8484edf5b47be19c7687e	427.0	2
a3159dc8d1f6695edfad0162b013cc67	422.0	1
6acfe69f470ceebec0cce442b1190fa9	366.0	1
d76d59ec71de0e3b22da0c9cd564d41a	321.0	4
bd5ef8f372e09bcf6ec35825be4f053c	283.0	3
4e2e6735331ad01a30c94d2f4c285dc2	283.0	3
d9eea834805833ac21a86fdabedd8556	282.0	4
bed671b4676144142cebd192b690f499	281.0	3
fd496fd32dc8c08ade2e8b6c9d8ee13d	278.0	3
40874d61006874f7c87d904707d320d9	255.0	2
6420671c26eef32065e0275c8cd6701e	249.0	4
e865f29a716e8d51f83931befa951240	239.0	4
77c2dc197e6b3dbebc4ee240c6a1c559	224.0	3
99deb3c5ecb022ec05609ebd1112a557	221.0	1
fa3d2114cfb8f1e6185bb490a3548733	217.0	1
27f098662c8f87b4aaff903d9c0f28d3	210.0	2
569653b1659271a290facfcedd0de061	183.0	1
d8e7f9181e4d5a4a6453e9ca9996a43f	182.0	1
68d79c3035521e82b504b081a197d2ed	166.0	3
9282e20164736c7ada9bd98d04654b5e	166.0	1
9e701e82d552ee66d9007fa3883b6560	164.0	1
9d5054752ed33d6a22bd0f96b5618b1c	161.0	1
1bc1f0e94c2e5c3f32e5b2746769efb4	158.0	1
edf42f357f8934fc004c334c5c7b5e6e	157.0	1
