Genus	R009_before	R009_7d	R009_14d	R009_30d	change_7d_vs_before	change_14d_vs_before	change_30d_vs_before	max_absolute_change
Bacteroides	0.4875670179330745	0.460734662478364	0.3899411109342671	0.3216485321289263	-0.02683235545471052	-0.09762590699880741	-0.1659184858041482	0.1659184858041482
Bifidobacterium	0.0003697541135145	0.1425091352009744	0.1423417687941005	0.0736501745021556	0.1421393810874599	0.14197201468058598	0.07328042038864109	0.1421393810874599
Blautia	0.0272693658716953	0.0470542983524584	0.1485489946416255	0.1189694107986039	0.019784932480763098	0.12127962876993019	0.0917000449269086	0.12127962876993019
Lachnospiraceae	0.0376224810501016	0.029809603179691	0.1419703963074964	0.1475056456579757	-0.007812877870410604	0.10434791525739479	0.10988316460787409	0.10988316460787409
Incertae_Sedis	0.0898502495840266	0.0	0.0	0.0	-0.0898502495840266	-0.0898502495840266	-0.0898502495840266	0.0898502495840266
Akkermansia	0.0820854132002218	0.0	0.0	0.0	-0.0820854132002218	-0.0820854132002218	-0.0820854132002218	0.0820854132002218
Faecalibacterium	0.0209835459419486	0.0737226745304186	0.0054114276619449	0.088123588585506	0.05273912858847	-0.015572118280003702	0.06714004264355738	0.06714004264355738
Escherichia-Shigella	0.0	0.0195525354189371	0.0481192636214122	0.0029254773147197	0.0195525354189371	0.0481192636214122	0.0029254773147197	0.0481192636214122
Parasutterella	0.0007857274912183	0.0116033079043528	0.0034484588041805	0.0403921166084992	0.010817580413134499	0.0026627313129622	0.0396063891172809	0.0396063891172809
Gemmiger	0.035912368275097	0.0	0.00053053212372	0.0	-0.035912368275097	-0.035381836151377	-0.035912368275097	0.035912368275097
Tyzzerella	0.0	0.0346176036925443	0.0035545652289246	0.0099055635393143	0.0346176036925443	0.0035545652289246	0.0099055635393143	0.0346176036925443
Alistipes	0.0316139767054908	0.0025642669401884	0.0018568624330203	0.0035926914391295	-0.029049709765302398	-0.0297571142724705	-0.0280212852663613	0.0297571142724705
Barnesiella	0.0254205953041227	0.0	0.0	0.0	-0.0254205953041227	-0.0254205953041227	-0.0254205953041227	0.0254205953041227
Incertae_Sedis	0.0	0.020450028848003	0.0	0.0	0.020450028848003	0.0	0.0	0.020450028848003
Roseburia	0.0	0.008654400923136	0.0013793835216722	0.019605830424964	0.008654400923136	0.0013793835216722	0.019605830424964	0.019605830424964
Dorea	0.0041135145128489	0.0228860824411821	0.0105045360496578	0.0127283925272018	0.0187725679283332	0.0063910215368089005	0.0086148780143529	0.0187725679283332
CAG-352	0.0174708818635607	0.0	0.0	0.0	-0.0174708818635607	-0.0174708818635607	-0.0174708818635607	0.0174708818635607
Lactobacillales	0.0	0.0	0.0172953472332749	0.0	0.0	0.0172953472332749	0.0	0.0172953472332749
Paraprevotella	0.0172860048068034	0.0	0.0	0.0	-0.0172860048068034	-0.0172860048068034	-0.0172860048068034	0.0172860048068034
Anaerostipes	0.0155758920317988	0.0101929610872491	0.0184094646930871	0.0321289262985013	-0.0053829309445497	0.002833572661288298	0.0165530342667025	0.0165530342667025
Clostridium	0.0	0.0133982947624847	0.0024404477691124	0.0	0.0133982947624847	0.0024404477691124	0.0	0.0133982947624847
Sutterella	0.0022647439452763	0.0	0.0	0.0150379798809279	-0.0022647439452763	-0.0022647439452763	0.0127732359356516	0.0127732359356516
Mediterraneibacter	0.0046219264189314	0.0167318417847297	0.0071091304578492	0.0055943338123588	0.012109915365798299	0.0024872040389178	0.0009724073934273998	0.012109915365798299
Oscillibacter	0.0	0.0115392012308481	0.000212212849488	0.0031307739683843	0.0115392012308481	0.000212212849488	0.0031307739683843	0.0115392012308481
UCG-002	0.0121094472176002	0.0059619206359382	0.0013793835216722	0.0024122356805584	-0.006147526581662	-0.010730063695928	-0.0096972115370418	0.010730063695928
Incertae_Sedis	0.0106304307635422	0.0	0.0	0.0	-0.0106304307635422	-0.0106304307635422	-0.0106304307635422	0.0106304307635422
Phascolarctobacterium	0.0104455537067849	0.0063465606769664	0.0	0.0143707657565181	-0.0040989930298185	-0.0104455537067849	0.003925212049733201	0.0104455537067849
Flavonifractor	0.0	0.0040387204307968	0.0008488513979521	0.009802915212482	0.0040387204307968	0.0008488513979521	0.009802915212482	0.009802915212482
Parabacteroides	0.00942872989462	0.0	0.0	0.0	-0.00942872989462	-0.00942872989462	-0.00942872989462	0.00942872989462
Fusicatenibacter	0.0017563320391939	0.0026283736136931	0.0016446495835322	0.0108293984808047	0.0008720415744992	-0.0001116824556617001	0.009073066441610801	0.009073066441610801
Streptococcus	0.0	0.0037181870632732	0.0084354607671494	0.0062102237733524	0.0037181870632732	0.0084354607671494	0.0062102237733524	0.0084354607671494
Intestinibacter	0.0002310963209465	0.0085902942496313	0.0028118202557164	0.0029254773147197	0.0083591979286848	0.0025807239347699	0.0026943809937732	0.0083591979286848
Coprococcus	0.0021260861527084	0.0	0.0099209507135657	0.0025662081708068	-0.0021260861527084	0.007794864560857299	0.0004401220180984002	0.007794864560857299
Anaerobutyricum	0.0075337400628581	0.0	0.0	0.0	-0.0075337400628581	-0.0075337400628581	-0.0075337400628581	0.0075337400628581
Ruminococcus	0.0082270290256979	0.0008974934290659	0.0031831927423205	0.0038493122562102	-0.007329535596632001	-0.005043836283377401	-0.004377716769487701	0.007329535596632001
CAG-56	0.0	0.0059619206359382	0.0026526606186004	0.007185382878259	0.0059619206359382	0.0026526606186004	0.007185382878259	0.007185382878259
Lachnospiraceae_NK4A136_group	0.0061471621371787	0.0	0.0	0.0	-0.0061471621371787	-0.0061471621371787	-0.0061471621371787	0.0061471621371787
Bilophila	0.0	0.0060260273094429	0.0	0.0059536029562718	0.0060260273094429	0.0	0.0059536029562718	0.0060260273094429
Enterocloster	0.0002310963209465	0.0026924802871978	0.0014324367340442	0.0059536029562718	0.0024613839662513	0.0012013404130977	0.0057225066353253	0.0057225066353253
Agathobaculum	0.0	0.0007692800820565	0.0023873945567404	0.0056456579757749	0.0007692800820565	0.0023873945567404	0.0056456579757749	0.0056456579757749
Romboutsia	0.0	0.0	0.0	0.0043112297269554	0.0	0.0	0.0043112297269554	0.0043112297269554
[Eubacterium]_ruminantium_group	0.0042521723054168	0.0	0.0	0.0	-0.0042521723054168	-0.0042521723054168	-0.0042521723054168	0.0042521723054168
Erysipelotrichaceae_UCG-003	0.0006932889628397	0.0034617603692544	0.0046156294763647	0.0042599055635393	0.0027684714064147	0.003922340513525	0.0035666166006995998	0.003922340513525
Collinsella	0.0002310963209465	0.0038464004102827	0.0040320441402726	0.0	0.0036153040893362	0.0038009478193261003	-0.0002310963209465	0.0038009478193261003
Lachnospiraceae_UCG-010	0.0	0.0	0.0009549578226961	0.003797988092794	0.0	0.0009549578226961	0.003797988092794	0.003797988092794
Odoribacter	0.0028655943797374	0.0058978139624334	0.0	0.000769862451242	0.0030322195826960005	-0.0028655943797374	-0.0020957319284954	0.0030322195826960005
[Ruminococcus]_gauvreauii_group	0.0030042521723054	0.0	0.0	0.0	-0.0030042521723054	-0.0030042521723054	-0.0030042521723054	0.0030042521723054
Incertae_Sedis	0.0026344980587909	0.0	0.0042973102021327	0.0033873947854649	-0.0026344980587909	0.0016628121433417999	0.0007528967266739999	0.0026344980587909
UCG-005	0.0022647439452763	0.0	0.0	0.0	-0.0022647439452763	-0.0022647439452763	-0.0022647439452763	0.0022647439452763
Butyribacter	0.0	0.0	0.0	0.0021556148634777	0.0	0.0	0.0021556148634777	0.0021556148634777
Marvinbryantia	0.0	0.0020514135521507	0.0013263303093002	0.0	0.0020514135521507	0.0013263303093002	0.0	0.0020514135521507
Hungatella	0.0	0.001987306878646	0.0020160220701363	0.0	0.001987306878646	0.0020160220701363	0.0	0.0020160220701363
Lachnospiraceae_UCG-004	0.0001386577925679	0.0019232002051413	0.0	0.0003592691439129	0.0017845424125734	-0.0001386577925679	0.000220611351345	0.0017845424125734
Butyricimonas	0.0016176742466259	0.0009616001025706	0.0009549578226961	0.0	-0.0006560741440553	-0.0006627164239297999	-0.0016176742466259	0.0016176742466259
Intestinimonas	0.001479016454058	0.0	0.0	0.0	-0.001479016454058	-0.001479016454058	-0.001479016454058	0.001479016454058
Agathobacter	0.0014327971898687	0.0	0.0	0.0	-0.0014327971898687	-0.0014327971898687	-0.0014327971898687	0.0014327971898687
Monoglobus	0.0013403586614901	0.0	0.0	0.0007185382878259	-0.0013403586614901	-0.0013403586614901	-0.0006218203736642	0.0013403586614901
Ruthenibacterium	0.0004621926418931	0.0017949868581319	0.0009019046103241	0.0010778074317388	0.0013327942162388	0.000439711968431	0.0006156147898456999	0.0013327942162388
Acutalibacter	0.0012941393973007	0.001987306878646	0.0	0.0020016423732293	0.0006931674813453	-0.0012941393973007	0.0007075029759285999	0.0012941393973007
[Eubacterium]_siraeum_group	0.0012941393973007	0.0	0.0	0.0	-0.0012941393973007	-0.0012941393973007	-0.0012941393973007	0.0012941393973007
Methanobrevibacter	0.0012479201331114	0.0	0.0	0.0	-0.0012479201331114	-0.0012479201331114	-0.0012479201331114	0.0012479201331114
Incertae_Sedis	0.0012479201331114	0.0	0.0	0.0	-0.0012479201331114	-0.0012479201331114	-0.0012479201331114	0.0012479201331114
Eggerthella	0.0	0.0010898134495801	0.0	0.0	0.0010898134495801	0.0	0.0	0.0010898134495801
Lachnospiraceae_ND3007_group	0.0	0.0	0.0	0.0010264832683227	0.0	0.0	0.0010264832683227	0.0010264832683227
Lachnospiraceae_FCS020_group	0.0	0.0	0.0	0.0009751591049065	0.0	0.0	0.0009751591049065	0.0009751591049065
Christensenellaceae_R-7_group	0.0009243852837862	0.0	0.0	0.0	-0.0009243852837862	-0.0009243852837862	-0.0009243852837862	0.0009243852837862
Veillonella	0.0	0.0	0.000106106424744	0.0009238349414904	0.0	0.000106106424744	0.0009238349414904	0.0009238349414904
Slackia	0.0	0.0008974934290659	0.0	0.0	0.0008974934290659	0.0	0.0	0.0008974934290659
Senegalimassilia	0.0	0.0	0.0008488513979521	0.0	0.0	0.0008488513979521	0.0	0.0008488513979521
Subdoligranulum	0.0008319467554076	0.0	0.0	0.0	-0.0008319467554076	-0.0008319467554076	-0.0008319467554076	0.0008319467554076
Oscillospiraceae	0.0	0.0	0.0	0.0008211866146581	0.0	0.0	0.0008211866146581	0.0008211866146581
Gordonibacter	0.0	0.0003205333675235	0.0007427449732081	0.0	0.0003205333675235	0.0007427449732081	0.0	0.0007427449732081
Desulfovibrio	0.0	0.0	0.0005835853360921	0.0	0.0	0.0005835853360921	0.0	0.0005835853360921
Incertae_Sedis	0.0004621926418931	0.0	0.0	0.0	-0.0004621926418931	-0.0004621926418931	-0.0004621926418931	0.0004621926418931
Holdemania	0.0	0.0	0.000424425698976	0.0003079449804968	0.0	0.000424425698976	0.0003079449804968	0.000424425698976
Family_XIII_AD3011_group	0.0	0.0	0.000424425698976	0.0	0.0	0.000424425698976	0.0	0.000424425698976
Flavobacteriales	0.0002773155851358	0.0	0.0	0.0	-0.0002773155851358	-0.0002773155851358	-0.0002773155851358	0.0002773155851358
Granulicatella	0.0	0.0	0.0	0.0002566208170806	0.0	0.0	0.0002566208170806	0.0002566208170806
Incertae_Sedis	0.0	0.0	0.0	0.0002052966536645	0.0	0.0	0.0002052966536645	0.0002052966536645
Rikenella	0.0001848770567572	0.0	0.0	0.0	-0.0001848770567572	-0.0001848770567572	-0.0001848770567572	0.0001848770567572
NK4A214_group	0.0001386577925679	0.0	0.0	0.0	-0.0001386577925679	-0.0001386577925679	-0.0001386577925679	0.0001386577925679
Incertae_Sedis	0.0	0.0001282133470094	0.0	0.0	0.0001282133470094	0.0	0.0	0.0001282133470094
