Taxon	R009_14d	R009_30d	R009_7d	R009_before	Genus	mean_relative_abundance
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.3899411109342671	0.3216485321289263	0.460734662478364	0.4875670179330745	Bacteroides	0.414972830868658
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.1423417687941005	0.0736501745021556	0.1425091352009744	0.0003697541135145	Bifidobacterium	0.08971770815268626
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	0.1419703963074964	0.1475056456579757	0.029809603179691	0.0376224810501016	Lachnospiraceae	0.08922703154881617
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	0.1485489946416255	0.1189694107986039	0.0470542983524584	0.0272693658716953	Blautia	0.08546051741609577
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	0.0054114276619449	0.088123588585506	0.0737226745304186	0.0209835459419486	Faecalibacterium	0.047060309179954525
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Incertae_Sedis	0.0	0.0	0.0	0.0898502495840266	Incertae_Sedis	0.02246256239600665
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	0.0	0.0	0.0	0.0820854132002218	Akkermansia	0.02052135330005545
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	0.0184094646930871	0.0321289262985013	0.0101929610872491	0.0155758920317988	Anaerostipes	0.019076811027659075
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	0.0481192636214122	0.0029254773147197	0.0195525354189371	0.0	Escherichia-Shigella	0.01764931908876725
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	0.0034484588041805	0.0403921166084992	0.0116033079043528	0.0007857274912183	Parasutterella	0.0140574027020627
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	0.0105045360496578	0.0127283925272018	0.0228860824411821	0.0041135145128489	Dorea	0.01255813138272265
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella	0.0035545652289246	0.0099055635393143	0.0346176036925443	0.0	Tyzzerella	0.0120194331151958
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.0018568624330203	0.0035926914391295	0.0025642669401884	0.0316139767054908	Alistipes	0.00990694937945725
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger	0.00053053212372	0.0	0.0	0.035912368275097	Gemmiger	0.00911072509970425
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter	0.0071091304578492	0.0055943338123588	0.0167318417847297	0.0046219264189314	Mediterraneibacter	0.008514308118467274
d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium	0.0	0.0143707657565181	0.0063465606769664	0.0104455537067849	Phascolarctobacterium	0.007790720035067349
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	0.0013793835216722	0.019605830424964	0.008654400923136	0.0	Roseburia	0.00740990371744305
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella	0.0	0.0	0.0	0.0254205953041227	Barnesiella	0.006355148826030675
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002	0.0013793835216722	0.0024122356805584	0.0059619206359382	0.0121094472176002	UCG-002	0.00546574676394225
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Chloroplast;f__Incertae_Sedis;g__Incertae_Sedis	0.0	0.0	0.020450028848003	0.0	Incertae_Sedis	0.00511250721200075
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0084354607671494	0.0062102237733524	0.0037181870632732	0.0	Streptococcus	0.00459096790094375
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352	0.0	0.0	0.0	0.0174708818635607	CAG-352	0.004367720465890175
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	0.0	0.0150379798809279	0.0	0.0022647439452763	Sutterella	0.00432568095655105
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;__;__	0.0172953472332749	0.0	0.0	0.0	Lactobacillales	0.004323836808318725
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	0.0	0.0	0.0	0.0172860048068034	Paraprevotella	0.00432150120170085
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	0.0016446495835322	0.0108293984808047	0.0026283736136931	0.0017563320391939	Fusicatenibacter	0.004214688429305976
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	0.0031831927423205	0.0038493122562102	0.0008974934290659	0.0082270290256979	Ruminococcus	0.004039256863323625
d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	0.0024404477691124	0.0	0.0133982947624847	0.0	Clostridium	0.003959685632899275
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56	0.0026526606186004	0.007185382878259	0.0059619206359382	0.0	CAG-56	0.0039499910331994
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	0.000212212849488	0.0031307739683843	0.0115392012308481	0.0	Oscillibacter	0.0037205470121801
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor	0.0008488513979521	0.009802915212482	0.0040387204307968	0.0	Flavonifractor	0.003672621760307725
