Genus	R009_before	R009_7d	R009_14d	R009_30d	mean_relative_abundance
Bacteroides	0.4875670179330745	0.460734662478364	0.3899411109342671	0.3216485321289263	0.414972830868658
Bifidobacterium	0.0003697541135145	0.1425091352009744	0.1423417687941005	0.0736501745021556	0.08971770815268626
Lachnospiraceae	0.0376224810501016	0.029809603179691	0.1419703963074964	0.1475056456579757	0.08922703154881617
Blautia	0.0272693658716953	0.0470542983524584	0.1485489946416255	0.1189694107986039	0.08546051741609577
Faecalibacterium	0.0209835459419486	0.0737226745304186	0.0054114276619449	0.088123588585506	0.047060309179954525
Incertae_Sedis	0.0898502495840266	0.0	0.0	0.0	0.02246256239600665
Akkermansia	0.0820854132002218	0.0	0.0	0.0	0.02052135330005545
Anaerostipes	0.0155758920317988	0.0101929610872491	0.0184094646930871	0.0321289262985013	0.019076811027659075
Escherichia-Shigella	0.0	0.0195525354189371	0.0481192636214122	0.0029254773147197	0.01764931908876725
Parasutterella	0.0007857274912183	0.0116033079043528	0.0034484588041805	0.0403921166084992	0.0140574027020627
Dorea	0.0041135145128489	0.0228860824411821	0.0105045360496578	0.0127283925272018	0.01255813138272265
Tyzzerella	0.0	0.0346176036925443	0.0035545652289246	0.0099055635393143	0.0120194331151958
